Optimal subproblem size 64,bcsstk30,obj,8666,8666,8666,8666,8666,8666,8666,8666,8666,8666
Optimal subproblem size 64,bcsstk30,iter,55,63,55,67,67,67,63,67,71,67
Optimal subproblem size 64,cti,obj,410,403,410,410,410,410,410,410,410,410
Optimal subproblem size 64,cti,iter,54,52,58,58,54,58,62,66,54,58
Optimal subproblem size 64,data,obj,280,280,280,280,280,280,280,280,280,280
Optimal subproblem size 64,data,iter,39,47,35,39,35,35,35,47,39,47
Optimal subproblem size 64,SSS12,obj,737,737,737,737,737,737,737,737,737,737
Optimal subproblem size 64,SSS12,iter,73,65,73,61,65,65,73,61,73,73
QAOA (IBMQ Poughkeepsie) subproblem size 20,4elt,obj,171
QAOA (IBMQ Poughkeepsie) subproblem size 20,4elt,iter,67
QAOA (IBMQ Poughkeepsie) subproblem size 20,bcsstk30,obj,6416
QAOA (IBMQ Poughkeepsie) subproblem size 20,bcsstk30,iter,87
QAOA (IBMQ Poughkeepsie) subproblem size 20,cti,obj,378
QAOA (IBMQ Poughkeepsie) subproblem size 20,cti,iter,78
QAOA (IBMQ Poughkeepsie) subproblem size 20,data,obj,270
QAOA (IBMQ Poughkeepsie) subproblem size 20,data,iter,54
QAOA (IBMQ Poughkeepsie) subproblem size 20,SSS12,obj,738
QAOA (IBMQ Poughkeepsie) subproblem size 20,SSS12,iter,93
QAOA (simulator) subproblem size 20,4elt,obj,181,239,227,311,220,165,211,218,209,185
QAOA (simulator) subproblem size 20,4elt,iter,56,64,63,58,69,63,61,57,68,61
QAOA (simulator) subproblem size 20,bcsstk30,obj,9244,11699,6441,12870,6414,8789,9361,6409,6414,11094
QAOA (simulator) subproblem size 20,bcsstk30,iter,69,69,79,76,75,68,78,70,73,80
QAOA (simulator) subproblem size 20,cti,obj,665,489,419,428,417,407,437,401,445,440
QAOA (simulator) subproblem size 20,cti,iter,69,73,61,75,82,66,53,67,72,71
QAOA (simulator) subproblem size 20,data,obj,208,277,250,219,216,226,216,208,208,208
QAOA (simulator) subproblem size 20,data,iter,48,53,45,46,48,46,43,51,47,45
QAOA (simulator) subproblem size 20,SSS12,obj,738,738,738,738,738,738,738,738,738,738
QAOA (simulator) subproblem size 20,SSS12,iter,91,87,88,85,85,87,99,80,87,80
